MeLaF

	intercept	slope	R2	aR2	p	auto.p	rho
%A	14.8444098807443	0.000406109338560563	0.0681343956215814	0.0494970835340131	0.0616125783281381	0.0682157307387971	-0.035842757417167
%C	2.15223768306009	0.000310649052731916	0.226272616575392	0.210798068906899	0.000365283577981325	0.00161774134239028	0.0854200277660012
%G	20.3901534645782	-0.000355128052004139	0.0795569562315641	0.0611480953561954	0.0427805371078728	0.0988755253425627	0.239350249323656
%T	62.6131989716174	-0.000361630339288341	0.059458618718197	0.0406477910925609	0.0815044731926753	0.42228711011415	0.414467104230852

MeLaM

	intercept	slope	R2	aR2	p	auto.p	rho
%A	14.6159227388616	0.000199663140614184	0.0409208047748062	0.0213477599742921	0.154567148235904	0.131090523907517	0.721742587250705
%C	3.16669763292196	0.000151859373587297	0.108742117957486	0.0905531815892717	0.0181227997128781	0.0747448637248349	0.276358877779401
%G	17.3328027065854	0.000419931388305979	0.14482002620118	0.127367373674674	0.00587279874958965	0.0059094605142811	0.661684474347185
%T	64.884576921631	-0.000771453902507459	0.212281551720874	0.1962056650213	0.000668160166333109	0.000105674987830757	0.775306717724311
